client,industry,project,description,dt_start,channel,product,design,goal,complexity
Project Hub,comunicacao,Amcham,Apresentação para apresentação de projeto Amcham,2014-10-26T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']",['informacional'],1
Havas,comunicacao,Projeto Havaianas,Narrativa visual em motion graphics para a apresentação de resultados da agência,2014-10-30T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['informacional'],2
Centro Universitário Belas Artes,educacao,Apresentação institucional Belas Artes,"Criação de linguagem visual, recursos gráficos e conteúdo visual para apresentação institucional da instituição de ensino Belas Artes",2014-10-30T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",1
Anistia Internacional,ongs-orgs,Jovem Negro Vivo,Narrativa visual em motion graphics para apresentar dados sobre a violência contra jovens negros no país,2014-03-11T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'datavis', 'infografia']","['educacional', 'informacional', 'impacto-positivo', 'institucional']",4
Anistia Internacional,ongs-orgs,Jovem Negro Vivo,Infográficos para apresentar dados sobre a violência contra jovens negros no país,2014-03-11T00:00:00Z,digital,['infografico'],"['ilustracao', 'datavis', 'infografia']","['educacional', 'informacional', 'impacto-positivo', 'institucional']",3
Progen,outros,Novos materiais institucionais Progen,Desenvolvimento de publicação institucional para a empresa,2014-05-11T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",2
Progen,outros,Novos materiais institucionais Progen,Desenvolvimento de publicação para apresentar o portfólio da empresa,2014-05-11T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",2
PAN Visual,comunicacao,PAN Visual ESA,Narrativa visual para explicar a atuação da ESA,2014-11-13T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['informacional'],1
Deloitte,consultorias,Deslocamento seguro,Narrativa visual em motion graphics para Deloitte,2014-11-18T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",2
Project Hub,comunicacao,Youtube EDU,Identidade visual para o projeto Youtube EDU,2014-11-27T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'institucional']",3
Project Hub,comunicacao,Youtube EDU,Densenvolvimento de CGs e recursos gráfico-visuais para a série do projeto Youtube EDU,2014-11-27T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']","['educacional', 'informacional', 'institucional']",3
Project Hub,comunicacao,Youtube EDU,Desenvolvimento de interface para aplicativo para realização de pesquisa de opinião em evento,2014-11-27T00:00:00Z,digital,['outras-interfaces'],"['ilustracao', 'user-interface', 'datavis', 'infografia']",['institucional'],3
KPMG,consultorias,KPMG Energia,"Narrativa visual em motion graphics sobre as tendências do setor de energia ",2014-08-12T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['informacional'],2
Deloitte,consultorias,Deloitte - Voluntários,Narrativa visual em motion graphics apresentando o programa de voluntariado da empresa,2014-12-15T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'impacto-positivo', 'institucional']",1
Baboom Filmes,comunicacao,Infográficos Repórter Record,Infografias animadas para programa jornalístico,2015-05-01T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'jornalistico-editorial']",1
ESPM,educacao,ESPM cursos,Narrativas visuais em motion graphics apresentando os cursos de graduação e pós graduação da ESPM,2015-01-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",2
Aerolito,servicos-e-tecnologia,Central de monitoramento de dados Globo,Concept com visualizações de dados para central de monitoramento de dados para o grupo de comunicação Globo,2015-05-03T00:00:00Z,digital,['outras-interfaces'],"['ilustracao', 'user-interface', 'datavis']",['informacional'],3
Kompost,comunicacao,UBS Bank,Infográfico para apresentação de resultados do banco UBS,2015-09-03T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",1
MUDA Cultural,comunicacao,Muda Cultural - Vídeo institucional,Narrativa visual em motion graphics apresentando a Muda Cultural,2015-08-04T00:00:00Z,digital,['video'],"['motion-graphics', 'infografia']","['informacional', 'institucional']",1
Redondo,comunicacao,Trema,Infográfico e mapa,2015-04-14T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']",['informacional'],1
Editora Abril,jornalismo,Superinteressante - Especial Finanças,Projeto e desenvolvimento da edição especial da revista Superinteressante da ed. Abril sobre o mundo dos investimentos,2015-04-27T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'jornalistico-editorial']",5
Editora Globo,jornalismo,Monet infográfico,Infográfico para a revista Monet da ed. Globo,2015-08-05T00:00:00Z,impressa,['infografico'],"['editorial', 'infografia']",['jornalistico-editorial'],1
KPMG,consultorias,KPMG - SIPAT,Infográfico em motiongraphics para a KPMG,2015-06-16T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']","['educacional', 'informacional']",2
ESPM,educacao,Edição de vídeos ESPM,Edição de vídeos educacionais para ESPM,2015-06-08T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['educacional'],1
Loria Consultoria de Marca,consultorias,Apresentação para Rede Globo,Apresentação de slides para a Rede Globo,2015-08-28T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial']","['informacional', 'institucional']",2
F451,jornalismo,Risca Faca - Portal de Notícias,"Design e desenvolvimento para Risca Faca, portal de notícias da F451",2015-08-28T00:00:00Z,digital,['site-editorial'],"['ilustracao', 'editorial', 'user-interface']",['jornalistico-editorial'],5
Deloitte,consultorias,Deloitte - Hepatite C,Vídeo infográfico para conscientização sobre prevenção da Hepatite C,2015-05-09T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']","['educacional', 'informacional']",2
Perestroika,educacao,Experience Learning,"Conteúdo visual e infografia para explicar a Experience Learning, metodologia da Perestroika",2015-09-16T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'impacto-positivo', 'institucional']",4
New Content,comunicacao,New Content - Latam,"Concept, design e animação para LATAM",2015-09-22T00:00:00Z,digital,['video'],['motion-graphics'],['institucional'],2
Project Hub,comunicacao,DUPont - Future Makers,"Animação para a Future Makers, uma chamada criativa apresentada pela DUpont",2015-01-10T00:00:00Z,digital,['video'],['motion-graphics'],"['informacional', 'impacto-positivo']",2
Instituto Península,pesquisa,"Apresentação institucional ",Apresentação institucional para Instituto Península,2015-05-11T00:00:00Z,digital,['apresentacao'],['editorial'],['institucional'],3
Bufalos,comunicacao,Ícones animados para JEEP,Ilustração e animação de ícones para campanha da JEEP,2015-12-11T00:00:00Z,digital,['video'],['ilustracao'],['institucional'],3
ESPM,educacao,Curso de férias,Animação para os cursos de férias oferecidos pela ESPM,2015-11-16T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['informacional'],2
Deloitte,consultorias,Deslocamentos,Vídeo animado sobre cuidados nos deslocamentos para a empresa,2015-11-25T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['informacional'],2
Editora Globo,jornalismo,"Infográfico ",Infográfico para Época Negócios,2015-02-12T00:00:00Z,impressa,['infografico'],"['ilustracao', 'infografia']",['jornalistico-editorial'],2
PNUD,ongs-orgs,IDHM,Projeto para índice de desenvolvimento humano municipal brasileiro,2015-02-12T00:00:00Z,impressa,['publicacao'],"['editorial', 'datavis', 'infografia']","['impacto-positivo', 'institucional']",5
Bufalos,comunicacao,Bufalos - GE Época Negócios,Publi Editorial para GE + Época Negócios,2015-10-12T00:00:00Z,impressa,['infografico'],"['ilustracao', 'infografia']","['informacional', 'jornalistico-editorial']",2
CBA B+G,comunicacao,Futurologia,Relatório de tendências do futuro da CBA B+G,2015-10-12T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']",['informacional'],4
F451,comunicacao,F451 - Newsletter,Projeto gráfico para newsletter da F451,2015-12-14T00:00:00Z,digital,['site-institucional'],['user-interface'],['informacional'],1
Deloitte,consultorias,Deloitte Flex,Animação sobre clube de benefícios Deloitte Flex,2015-12-15T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['informacional'],1
ESPM,educacao,Vídeos Graduação,Pacote de animações para explicar os cursos de graduação da ESPM,2015-12-14T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['educacional'],4
Lab Analytics,educacao,"Identidade visual do Lab Analytics ","Projeto de identidade visual para o laboratório Analytics, do curso de Ciência de Dados da UFCG",2015-12-27T00:00:00Z,impressa,['outras-interfaces'],"['ilustracao', 'editorial', 'motion-graphics', 'infografia']","['educacional', 'informacional']",4
Deloitte,consultorias,Boas práticas em redes sociais,Animação com boas práticas para uso de redes sociais,2016-01-15T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['informacional'],2
Gaikosu,ongs-orgs,Gaikosu,Identidade visual para o app Gaikosu,2016-10-02T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']",['institucional'],4
Fazenda do Bosque,outros,Fazenda do Bosque,Identidade visual e apresentação para Fazenda do Bosque,2016-02-16T00:00:00Z,impressa,['apresentacao'],"['ilustracao', 'editorial']",['informacional'],3
Itáu,financeiro,Itaú - Investimentos,Explicação Visual para investimentos,2016-03-16T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['informacional'],5
Itáu,financeiro,Itaú - Investimentos,Explicação Visual para investimentos,2016-03-16T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['informacional'],5
Itáu,financeiro,Itaú - Investimentos,Explicação Visual para investimentos,2016-03-16T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['informacional'],5
Itáu,financeiro,Itaú - Investimentos,Explicação Visual para investimentos,2016-03-16T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['informacional'],5
Itáu,financeiro,Itaú - Investimentos,Explicação Visual para investimentos,2016-03-16T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['informacional'],5
Matriz,comunicacao,Animações,Animações para Agência Matriz,2016-03-23T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['informacional'],3
Green Park Content,comunicacao,Infográfico Institucional,Infográfico para Green Park Content,2016-03-26T00:00:00Z,digital,['infografico'],"['editorial', 'infografia']",['informacional'],3
ESPM,educacao,Administração no RJ,Animação para explicar o curso de Administração da ESPM RJ,2016-06-05T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['informacional'],2
ESPM,educacao,Curso de Atualização Profissional,Animação para apresentar o curso de atualização profissional da ESPM RJ,2016-06-05T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['informacional'],2
Bufalos/FIAT,comunicacao,Letterings FIAT,Design de letterings e animação para campanha FIAT,2016-10-05T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['institucional'],4
Ricardo Gandour,jornalismo,The new information environment,Animação para explicar tese do jornalista Ricardo Gandour,2016-11-05T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'impacto-positivo']",5
Project Hub,comunicacao,Institucional Project HUB,Animação institucional para a Project HUB,2016-12-05T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['informacional'],3
Rede Justiça Criminal,ongs-orgs,Publicação Rede Justiça Criminal,Publicação para explicar a atuação e objetivos da Rede Justiça Criminal,2016-06-24T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']",['impacto-positivo'],4
PAN Visual Content,comunicacao,Revista SFI,Ilustrações para revista SFI,2016-08-07T00:00:00Z,impressa,['publicacao'],['ilustracao'],['jornalistico-editorial'],3
E-Bricks Ventures,financeiro,Institucional E-Bricks Ventures,Apresentação institucional para pitch,2016-07-14T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",4
PNUD,ongs-orgs,ONU - Caderno de Esportes,Design e diagramação de Caderno de Esportes para PNUD/ONU,2016-07-21T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'impacto-positivo']",5
Rede Justiça Criminal,ongs-orgs,Infográfico Rede Justiça Criminal,Design de infográfico para explicar a Rede Justiça Criminal,2016-07-21T00:00:00Z,impressa,['infografico'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'impacto-positivo']",3
Bufalos,comunicacao,Toyota Prius,"Design de lettering, ilustração e animação para campanha do Toyota Prius",2016-07-25T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['institucional'],4
PNUD,ongs-orgs,Documento Referencial,"Projeto gráfico, design e diagramação de Documento Referencial PNUD",2016-04-08T00:00:00Z,impressa,['publicacao'],"['editorial', 'infografia']",['impacto-positivo'],5
PNUD,ongs-orgs,Escolas Ativas,Tradução para publicação Escolas Ativas,2016-05-08T00:00:00Z,impressa,['publicacao'],['editorial'],"['educacional', 'informacional']",2
Exato Digital,servicos-e-tecnologia,Exato Digital vídeo explicativo,Narrativa visual em motiongraphics para explicar o serviço do Exato Digital,2023-10-15T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
Estúdio Varanda,comunicacao,Revista Pesquisa Fapesp,Animação para reportagem da Revista Pesquisa Fapesp,2016-09-08T00:00:00Z,digital,['video'],"['motion-graphics', 'infografia']",['educacional'],4
Ayo Tech,financeiro,Ayo Tech vídeo institucional,Narrativa visual em motiongraphics que apresenta o grupo Ayo Tech,2023-11-10T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",4
Funbio,ongs-orgs,Preservação das Toninhas,Site e infográfico interativo sobre as pesquisas científicas em torno das toninhas,2023-04-05T00:00:00Z,digital,['site-editorial'],"['ilustracao', 'editorial', 'user-interface', 'datavis', 'infografia']","['educacional', 'informacional', 'jornalistico-editorial']",5
Funbio,ongs-orgs,Preservação das Toninhas,Mapeamento estratégico e série do workshops para definir possíveis soluções e estabelecer requisitos para o projeto,2023-04-05T00:00:00Z,consultoria,['site-editorial'],['design-de-servicos'],"['educacional', 'informacional', 'jornalistico-editorial']",5
Mutua Systems,servicos-e-tecnologia,"Mutua co-design ","Usamos abordagens de design participativo para descobrir e definir problemas, oportunidades e estratégias para a futura plataforma da Mutua Systems",2023-01-06T00:00:00Z,consultoria,['outras-interfaces'],"['design-de-servicos', 'datavis']",['informacional'],5
Project Hub,comunicacao,Project HUB MCI,Animação Project Hub + MCI,2016-10-08T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
Agência Matriz,comunicacao,IEL,Animação para explicar o IEL - Instituto Euvaldo Lodi,2016-10-08T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['institucional'],2
Agência Matriz,comunicacao,SESI,Animação para explicar a função do SESI - Serviço Social da Indústria,2016-12-08T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['institucional'],3
Agência Matriz,comunicacao,SENAI,"Animação para explicar o SENAI - Serviço Nacional de Aprendizagem Industrial ",2016-08-15T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['institucional'],3
Honda,outros,Consórcio Honda,Animação para apresentar o Consórcio Honda,2016-08-16T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['institucional'],2
Reset,jornalismo,"Reset, recursos para redes sociais",Criação de recursos gráficos para apresentação de conteúdo editorial em redes sociais,2023-08-18T00:00:00Z,digital,['publicacao'],"['editorial', 'infografia']",['jornalistico-editorial'],1
Honda,outros,Consórcio Honda,Folder e folheto para apresentar o Consórcio Honda,2016-08-16T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']",['institucional'],4
B3,financeiro,Investimentos B3,Animação para explicar os investimentos mais populares da B3,2016-08-19T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",5
Stella Comunicação,comunicacao,Série de infográficos para a Nutrien,Pacote de infográficos desenvolvidos para explicar os processos internos da empresa,2023-05-09T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional']",2
Stella Comunicação,comunicacao,Série de infográficos para a Nutrien,Pacote de infográficos desenvolvidos para explicar os processos internos da empresa,2023-05-09T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional']",2
Stella Comunicação,comunicacao,Série de infográficos para a Nutrien,Pacote de infográficos desenvolvidos para explicar os processos internos da empresa,2023-05-09T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional']",2
Honda,outros,Plano UNIC,Animação para apresentar o Plano UNIC Honda,2016-08-22T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['institucional'],2
Companhia das Letras,jornalismo,Palestras e CIA,"Site institucional para Palestras e CIA, o núcleo de palestrantes da Companhia Das Letras",2016-08-22T00:00:00Z,digital,['site-institucional'],['user-interface'],['institucional'],5
Rede Justiça Criminal,ongs-orgs,10 razões para não diminuir a maioridade penal no Brasil,Projeto gráfico e diagramação para publicação 10 razões para não diminuir a maioridade penal no Brasil,2016-08-25T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']",['impacto-positivo'],4
Alana,ongs-orgs,Relatório Alana 2023,Desenvolvimento do relatório institucional da Alana do ano de 2023,2023-12-06T00:00:00Z,digital,['relatorios'],"['ilustracao', 'editorial', 'infografia']","['impacto-positivo', 'institucional', 'jornalistico-editorial']",4
Ipplan,pesquisa,Futuros Cenários São José 2035,Publicação sobre futuros cenários da cidade paulista São José dos Campos,2016-08-25T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']",['informacional'],5
F451,comunicacao,Material Institucional da F451,"Site, apresentação e vídeo para F451",2016-08-28T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'user-interface', 'infografia']",['institucional'],4
CCR,servicos-e-tecnologia,Infográficos para o Grupo CCR,Desenvolvimento de série de infográficos para o grupo CCR,2023-07-27T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional']",2
CCR,servicos-e-tecnologia,Infográficos para o Grupo CCR,Desenvolvimento de série de infográficos para o grupo CCR,2023-07-27T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional']",2
CCR,servicos-e-tecnologia,Infográficos para o Grupo CCR,Desenvolvimento de série de infográficos para o grupo CCR,2023-07-27T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional']",2
CCR,servicos-e-tecnologia,Infográficos para o Grupo CCR,Desenvolvimento de série de infográficos para o grupo CCR,2023-07-27T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional']",2
CCR,servicos-e-tecnologia,Infográficos para o Grupo CCR,Desenvolvimento de série de infográficos para o grupo CCR,2023-07-27T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional']",2
PNUD,ongs-orgs,Escolas Ativas,Design e diagramação do Caderno Escolas Ativas,2016-09-09T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']",['educacional'],5
CCR,servicos-e-tecnologia,Infográficos em motiongraphics,Série de infográficos em motiongraphics para apresentar os serviços do grupo CCR,2023-07-27T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
CCR,servicos-e-tecnologia,Infográficos em motiongraphics,Série de infográficos em motiongraphics para apresentar os serviços do grupo CCR,2023-07-27T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
CCR,servicos-e-tecnologia,Infográficos em motiongraphics,Série de infográficos em motiongraphics para apresentar os serviços do grupo CCR,2023-07-27T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
Finvest,financeiro,Institucional Finvest,Apresentação institucional para Finvest,2016-09-15T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']",['institucional'],3
Consumoteca,pesquisa,Consumoteca TROP,Desenvolvimento da visualização de dados radar TROP e de infográficos para explicação do método,2023-06-20T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'datavis', 'infografia']","['informacional', 'institucional']",4
Consumoteca,pesquisa,Consumoteca TROP,Processo de design com foco no mapeamento estratégico e série do workshops para definir possíveis soluções e estabelecer requisitos para o projeto,2023-06-20T00:00:00Z,consultoria,['outras-interfaces'],"['ilustracao', 'datavis', 'infografia']","['informacional', 'institucional']",4
Agroicone,pesquisa,Infográficos Agroícone,Design e infografia para explicar métodos e atuação da Agroicone,2016-10-18T00:00:00Z,digital,['infografico'],['design-de-servicos'],['institucional'],3
Consumoteca,pesquisa,Consumoteca TROP,Desenvolvimento da visualização de dados radar TROP e de infográficos para explicação do método,2023-06-20T00:00:00Z,digital,['infografico'],"['ilustracao', 'datavis', 'infografia']","['informacional', 'institucional']",5
Honda,outros,Publicação Honda,Design e diagramação para publicação do banco Honda,2016-10-25T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']",['institucional'],2
Consumoteca,pesquisa,Consumoteca TROP,Desenvolvimento de site para apresentar a metodologia TROP,2023-06-20T00:00:00Z,digital,['site-institucional'],"['motion-graphics', 'user-interface', 'infografia']","['informacional', 'institucional']",4
ESPM,educacao,Mestrado ESPM,Animação para explicar o Mestrado ESPM,2016-10-25T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['informacional'],2
PAN Visual Content,comunicacao,SAP Book empreendedorismo,"Design de e-book para SAP, tema Empreendedorismo",2016-10-31T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']",['institucional'],4
Consumoteca,pesquisa,Consumoteca TROP,Desenvolvimento de peças promocionais para a divulgação da metodologia TROP,2023-06-20T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']",['institucional'],3
Stella Comunicação,comunicacao,Infográficos para a Sodexo,Série de infográficos para explicar processos e boas práticas da Sodexo,2023-05-07T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['educacional', 'informacional']",2
Stella Comunicação,comunicacao,Infográficos para a Sodexo,Série de infográficos para explicar processos e boas práticas da Sodexo,2023-05-07T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['educacional', 'informacional']",2
Stella Comunicação,comunicacao,Infográficos para a Sodexo,Série de infográficos para explicar processos e boas práticas da Sodexo,2023-05-07T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['educacional', 'informacional']",2
Stella Comunicação,comunicacao,Infográficos para a Sodexo,Série de infográficos para explicar processos e boas práticas da Sodexo,2023-05-07T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['educacional', 'informacional']",2
